geohash,count_buildings,distance_park,geometry
dr5x9g0buqn1pn5x3fbf,72,930.0,"POLYGON((-73.745 40.7049999999999, -73.745 40.715, -73.755 40.715, -73.755 40.705, -73.745 40.7049999999999))"
dr5x28h7rm5x28h7rm5x,2,2250.0,"POLYGON((-73.7949999999999 40.645, -73.7949999999999 40.6550000000001, -73.8049999999999 40.6550000000001, -73.8049999999999 40.645, -73.7949999999999 40.645))"
dr5nwvgkgeuk0bxdhnt3,2,1140.0,"POLYGON((-74.225 40.545, -74.225 40.555, -74.235 40.555, -74.235 40.545, -74.225 40.545))"
dr5xffm3cw8fmxdss5ym,7,1080.0,"POLYGON((-73.6949999999999 40.745, -73.6949999999999 40.7550000000001, -73.7049999999998 40.7550000000001, -73.7049999999998 40.7450000000001, -73.6949999999999 40.745))"
dr5nxjfsueuu42941qw3,9,960.0,"POLYGON((-74.2150000000001 40.545, -74.2150000000001 40.555, -74.2250000000001 40.555, -74.2250000000001 40.545, -74.2150000000001 40.545))"
dr72ne6vnpq8hgrtpz3b,2,960.0,"POLYGON((-73.885 40.7950000000001, -73.885 40.8050000000001, -73.895 40.8050000000001, -73.895 40.7950000000001, -73.885 40.7950000000001))"
dr72ne6vnpq8hgrtpz3b,3,990.0,"POLYGON((-73.885 40.7950000000001, -73.885 40.8050000000001, -73.895 40.8050000000001, -73.895 40.7950000000001, -73.885 40.7950000000001))"
dr5nwtuhfegsp8w4nys3,1,1080.0,"POLYGON((-74.2349999999999 40.545, -74.2349999999999 40.555, -74.2449999999999 40.555, -74.2449999999999 40.545, -74.2349999999999 40.545))"
dr5rhu2wyhfqdekkv89q,33,900.0,"POLYGON((-73.9649999999999 40.6250000000001, -73.9649999999999 40.6350000000001, -73.9749999999999 40.6350000000001, -73.9749999999999 40.6250000000001, -73.9649999999999 40.6250000000001))"
dr5x28h7rm5x28h7rm5x,11,2100.0,"POLYGON((-73.7949999999999 40.645, -73.7949999999999 40.6550000000001, -73.8049999999999 40.6550000000001, -73.8049999999999 40.645, -73.7949999999999 40.645))"
dr5x23vjwm6gx67ndp6r,4,930.0,"POLYGON((-73.8050000000001 40.6549999999999, -73.8050000000001 40.6649999999999, -73.8150000000001 40.6649999999999, -73.8150000000001 40.6549999999999, -73.8050000000001 40.6549999999999))"
dr5x61zmwmr79dqqsr7p,16,960.0,"POLYGON((-73.7249999999999 40.6549999999999, -73.7249999999999 40.6649999999999, -73.7349999999999 40.6649999999999, -73.7349999999999 40.6549999999999, -73.7249999999999 40.6549999999999))"
dr5x21vvtm67w43wsz3r,4,900.0,"POLYGON((-73.815 40.6549999999999, -73.815 40.6649999999999, -73.825 40.6649999999999, -73.825 40.6549999999999, -73.815 40.6549999999999))"
dr5nxpdxhshb66cj92y3,1,1200.0,"POLYGON((-74.2150000000001 40.5549999999999, -74.2150000000001 40.5649999999999, -74.2250000000001 40.5649999999999, -74.2250000000001 40.5549999999999, -74.2150000000001 40.5549999999999))"
dr5ppbb6rswmyntq1k1s,1,1680.0,"POLYGON((-74.185 40.6049999999999, -74.185 40.6149999999999, -74.195 40.6149999999999, -74.195 40.6049999999999, -74.185 40.6049999999999))"
dr5xdwwj2w23u6cjyzm5,90,900.0,"POLYGON((-73.7050000000001 40.7249999999999, -73.7050000000001 40.7349999999999, -73.7150000000001 40.7349999999999, -73.7150000000001 40.7249999999999, -73.7050000000001 40.7249999999999))"
dr72n9dfypneucp9zucz,10,1350.0,"POLYGON((-73.885 40.785, -73.885 40.795, -73.895 40.795, -73.895 40.785, -73.885 40.785))"
dr5rtytj7nm1c4gmzzqe,13,990.0,"POLYGON((-73.915 40.7249999999999, -73.915 40.7349999999999, -73.925 40.7349999999999, -73.925 40.7249999999999, -73.915 40.7249999999999))"
dr5x23vjwm6gx67ndp6r,3,1020.0,"POLYGON((-73.8050000000001 40.6549999999999, -73.8050000000001 40.6649999999999, -73.8150000000001 40.6649999999999, -73.8150000000001 40.6549999999999, -73.8050000000001 40.6549999999999))"
dr5x2cgv8mk59fmysxkx,1,1140.0,"POLYGON((-73.785 40.655, -73.785 40.665, -73.795 40.665, -73.795 40.655, -73.785 40.655))"
dr5x2b5g2mhp3bjgkthx,1,2220.0,"POLYGON((-73.785 40.645, -73.785 40.6550000000001, -73.795 40.6550000000001, -73.795 40.645, -73.785 40.645))"
dr5qz9816k0udjm2ugn4,48,900.0,"POLYGON((-73.845 40.565, -73.845 40.575, -73.855 40.575, -73.855 40.565, -73.845 40.565))"
dr5x1w395mjdvvf0h6zy,1,1410.0,"POLYGON((-73.7549999999999 40.635, -73.7549999999999 40.645, -73.7649999999999 40.645, -73.7649999999999 40.635, -73.7549999999999 40.635))"
dr72ncd4zpp5y311vhfz,4,1350.0,"POLYGON((-73.8750000000001 40.785, -73.8750000000001 40.795, -73.8850000000001 40.795, -73.8850000000001 40.785, -73.8750000000001 40.785))"
dr5nxr9zjsj27dfmw8z3,4,990.0,"POLYGON((-74.2050000000002 40.5549999999999, -74.2050000000002 40.5649999999999, -74.2150000000001 40.5649999999999, -74.2150000000001 40.5549999999999, -74.2050000000002 40.5549999999999))"
dr5nz991qsjusv7bu50d,1,1770.0,"POLYGON((-74.195 40.565, -74.195 40.575, -74.2049999999999 40.575, -74.2049999999999 40.565, -74.195 40.565))"
dr5nzc83rsnkwjm2c71d,1,1320.0,"POLYGON((-74.185 40.565, -74.185 40.575, -74.195 40.575, -74.195 40.565, -74.185 40.565))"
dr5ppbzf2swvzqwwns4s,3,1650.0,"POLYGON((-74.1750000000001 40.6049999999999, -74.1750000000001 40.6149999999999, -74.1850000000001 40.6149999999999, -74.1850000000001 40.6049999999999, -74.1750000000001 40.6049999999999))"
dr5ppbb6rswmyntq1k1s,2,1500.0,"POLYGON((-74.185 40.6049999999999, -74.185 40.6149999999999, -74.195 40.6149999999999, -74.195 40.6049999999999, -74.185 40.6049999999999))"
dr5rtwtv6nk3zffjfxme,1,1020.0,"POLYGON((-73.9249999999999 40.7249999999999, -73.9249999999999 40.7349999999999, -73.9349999999999 40.7349999999999, -73.9349999999999 40.7249999999999, -73.9249999999999 40.7249999999999))"
