geohash,count_buildings,distance_park,geometry
xn76vbj451t11hg7xuwx,9,660.0,"POLYGON((139.835 35.635, 139.835 35.645, 139.825 35.645, 139.825 35.635, 139.835 35.635))"
xn76kwcqv0cg9355032h,1,780.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76t0z300grv5rq25em,2,1110.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76mqywc0ggw90ej3kk,3,1920.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76mqywc0ggw90ej3kk,3,1980.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76mqywc0ggw90ej3kk,1,2070.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76kc88n06qddh3jd96,1,1410.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn7675mdqbwdcs6s2sce,2,780.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn76kybwy0f7d9h7j93k,1,780.0,"POLYGON((139.785 35.585, 139.785 35.595, 139.775 35.595, 139.775 35.585, 139.785 35.585))"
xn76hvbew04mftk6mw13,1,1290.0,"POLYGON((139.785 35.535, 139.785 35.545, 139.775 35.545, 139.775 35.535, 139.785 35.535))"
xn76d2b94buru7ky77tm,24,600.0,"POLYGON((139.675 35.595, 139.675 35.6050000000001, 139.665 35.6050000000001, 139.665 35.595, 139.675 35.595))"
xn76htc7t01vcm742q01,1,1320.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76kwcqv0cg9355032h,5,690.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76y5sqs1v9f3sfm1r8,2,660.0,"POLYGON((139.845 35.655, 139.845 35.665, 139.835 35.665, 139.835 35.655, 139.845 35.655))"
xn76t2y910gzye2wm7sm,2,1470.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76tyjpg1mhc4e2rfqw,9,600.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn7728mw7fb8564cw3ju,2,600.0,"POLYGON((139.605 35.7249999999999, 139.605 35.7349999999999, 139.595 35.7349999999999, 139.595 35.7249999999999, 139.605 35.7249999999999))"
xn76twjzf1kkzfd06dmw,10,990.0,"POLYGON((139.825 35.6249999999999, 139.825 35.6349999999999, 139.815 35.6349999999999, 139.815 35.6249999999999, 139.825 35.6249999999999))"
xn769q5ryc6hz4x0q63n,3,600.0,"POLYGON((139.635 35.6249999999999, 139.635 35.6349999999999, 139.625 35.6349999999999, 139.625 35.6249999999999, 139.635 35.6249999999999))"
xn76htc7t01vcm742q01,1,1380.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76mnzqb0g7t1p7017k,1,1710.0,"POLYGON((139.805 35.585, 139.805 35.595, 139.795 35.595, 139.795 35.585, 139.805 35.585))"
xn76hz8ty0664xsmv836,1,1650.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
xn76survx16bebjv4b4q,1,630.0,"POLYGON((139.795 35.615, 139.795 35.625, 139.785 35.625, 139.785 35.615, 139.795 35.615))"
xn76hvbew04mftk6mw13,1,1230.0,"POLYGON((139.785 35.535, 139.785 35.545, 139.775 35.545, 139.775 35.535, 139.785 35.535))"
xn76y5sqs1v9f3sfm1r8,3,630.0,"POLYGON((139.845 35.655, 139.845 35.665, 139.835 35.665, 139.835 35.655, 139.845 35.655))"
xn76kc88n06qddh3jd96,2,1350.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76t2y910gzye2wm7sm,1,1440.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76t0z300grv5rq25em,1,810.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76t0z300grv5rq25em,6,1230.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76tyjpg1mhc4e2rfqw,2,930.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76hx9mv03f1rejb224,1,1290.0,"POLYGON((139.775 35.545, 139.775 35.555, 139.765 35.555, 139.765 35.545, 139.775 35.545))"
xn76mqywc0ggw90ej3kk,1,2100.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76twjzf1kkzfd06dmw,6,960.0,"POLYGON((139.825 35.6249999999999, 139.825 35.6349999999999, 139.815 35.6349999999999, 139.815 35.6249999999999, 139.825 35.6249999999999))"
xn76hx9mv03f1rejb224,1,1350.0,"POLYGON((139.775 35.545, 139.775 35.555, 139.765 35.555, 139.765 35.545, 139.775 35.545))"
xn76hz8ty0664xsmv836,1,600.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
xn76kc88n06qddh3jd96,1,1740.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76gve8f1bnj7yv87sc,1,630.0,"POLYGON((139.745 35.665, 139.745 35.675, 139.735 35.675, 139.735 35.665, 139.745 35.665))"
xn76tyjpg1mhc4e2rfqw,4,990.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76kc88n06qddh3jd96,1,1170.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76t0z300grv5rq25em,4,1140.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76gve8f1bnj7yv87sc,1,600.0,"POLYGON((139.745 35.665, 139.745 35.675, 139.735 35.675, 139.735 35.665, 139.745 35.665))"
xn76kc88n06qddh3jd96,2,1710.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn766gq6mbw4bk3h7kbe,17,690.0,"POLYGON((139.705 35.565, 139.705 35.575, 139.695 35.575, 139.695 35.565, 139.705 35.565))"
xn7728mw7fb8564cw3ju,1,660.0,"POLYGON((139.605 35.7249999999999, 139.605 35.7349999999999, 139.595 35.7349999999999, 139.595 35.7249999999999, 139.605 35.7249999999999))"
xn76vgtne1v1c1e6rcq8,7,630.0,"POLYGON((139.835 35.655, 139.835 35.665, 139.825 35.665, 139.825 35.655, 139.835 35.655))"
xn76y5sqs1v9f3sfm1r8,3,600.0,"POLYGON((139.845 35.655, 139.845 35.665, 139.835 35.665, 139.835 35.655, 139.845 35.655))"
xn769u6j8c729b4j0b5q,1,570.0,"POLYGON((139.655 35.615, 139.655 35.625, 139.645 35.625, 139.645 35.615, 139.655 35.615))"
xn7722qq6fb0441991hu,4,600.0,"POLYGON((139.595 35.7249999999999, 139.595 35.7349999999999, 139.585 35.7349999999999, 139.585 35.7249999999999, 139.595 35.7249999999999))"
xn76d2b94buru7ky77tm,11,630.0,"POLYGON((139.675 35.595, 139.675 35.6050000000001, 139.665 35.6050000000001, 139.665 35.595, 139.675 35.595))"
xn76hz8ty0664xsmv836,1,1620.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
xn76vbj451t11hg7xuwx,15,720.0,"POLYGON((139.835 35.635, 139.835 35.645, 139.825 35.645, 139.825 35.635, 139.835 35.635))"
xn76kwcqv0cg9355032h,1,660.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76twjzf1kkzfd06dmw,3,930.0,"POLYGON((139.825 35.6249999999999, 139.825 35.6349999999999, 139.815 35.6349999999999, 139.815 35.6249999999999, 139.825 35.6249999999999))"
xn76t0z300grv5rq25em,1,750.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn7675mdqbwdcs6s2sce,29,720.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn769k7mwc60x0pjn21n,16,570.0,"POLYGON((139.635 35.615, 139.635 35.625, 139.625 35.625, 139.625 35.615, 139.635 35.615))"
xn76mqywc0ggw90ej3kk,4,2040.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76hx9mv03f1rejb224,1,1170.0,"POLYGON((139.775 35.545, 139.775 35.555, 139.765 35.555, 139.765 35.545, 139.775 35.545))"
xn76vgtne1v1c1e6rcq8,1,750.0,"POLYGON((139.835 35.655, 139.835 35.665, 139.825 35.665, 139.825 35.655, 139.835 35.655))"
xn76hrdju0360p9tfbr4,1,870.0,"POLYGON((139.765 35.545, 139.765 35.555, 139.755 35.555, 139.755 35.545, 139.765 35.545))"
xn76htc7t01vcm742q01,1,1650.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76kc88n06qddh3jd96,1,1260.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76t2y910gzye2wm7sm,1,1500.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76t4x7215kjjz38jgm,1,750.0,"POLYGON((139.805 35.605, 139.805 35.615, 139.795 35.615, 139.795 35.605, 139.805 35.605))"
xn76t2y910gzye2wm7sm,1,1320.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
